year,volume
1,11.73999977
2,11.73999977
3,11.81999969
4,11.89999962
5,11.93000031
6,11.96000004
7,11.85000038
8,12.05000019
9,12.10000038
10,12.01000023
11,12.05000019
12,12.01000023
13,12
14,11.92000008
15,11.97000027
16,12
17,11.96000004
18,11.94999981
19,11.96000004
20,12.06999969
21,12.01000023
22,11.93000031
23,12.01000023
24,11.97999954
25,12.02999973
26,12.06000042
27,11.98999977
28,12
29,12.01000023
30,11.94999981
31,11.84000015
32,11.92000008
33,11.89000034
34,12.02999973
35,11.97999954
36,11.97999954
37,12.01000023
38,11.85999966
39,11.86999989
40,11.93000031
41,12.22999954
42,12.19999981
43,12.27000046
44,12.23999977
45,12.22000027
46,12.26000023
47,12.26000023
48,12.22000027
49,12.30000019
50,12.30000019
51,12.28999996
52,12.35000038
53,12.30000019
54,12.23999977
55,12.17000008
56,12.34000015
57,12.34000015
58,12.31000042
59,12.26000023
60,12.27000046
61,12.22000027
62,12.07999992
63,12.01000023
64,12
65,12.10999966
66,12.14999962
67,12.21000004
68,12.22999954
69,12.21000004
70,12.26000023
71,12.26000023
72,12.22000027
73,12.14000034
74,12.19999981
75,12.23999977
76,12.21000004
77,12.28999996
78,12.38000011
79,12.36999989
80,12.5
81,12.43999958
82,12.42000008
83,12.46000004
84,12.43000031
85,12.38000011
86,12.46000004
87,12.48999977
88,12.42000008
89,12.60000038
90,12.55000019
91,12.68000031
92,12.67000008
93,12.75
94,12.80000019
95,12.81999969
96,13.05000019
97,12.93000031
98,12.84000015
99,12.88000011
100,12.85000038
